name,category,brand,origin,caliber,capacity,action,price,description
Smith & Wesson 1911 Performance Center,Pistol,Smith & Wesson,USA,.45 ACP,10 rds,Semi Auto,1200000.0,Brand: Smith & Wesson | Origin: USA | Caliber: .45 ACP | Capacity: 10 rds | Action: Semi Auto
Kimber Rapide 1911,Pistol,Kimber,USA,.45 ACP,10 rds,Semi Auto,1150000.0,Brand: Kimber | Origin: USA | Caliber: .45 ACP | Capacity: 10 rds | Action: Semi Auto
Colt M4,Rifle,Colt,USA,5.56 NATO,30 rds,Semi Auto,770000.0,Brand: Colt | Origin: USA | Caliber: 5.56 NATO | Capacity: 30 rds | Action: Semi Auto
Sig Sauer M400,Rifle,SIG Sauer,USA,5.56 NATO,30 rds,Semi Auto,1200000.0,Brand: SIG Sauer | Origin: USA | Caliber: 5.56 NATO | Capacity: 30 rds | Action: Semi Auto
Keltec RDB Bullpup,Rifle,Kel-Tec,USA,5.56 NATO,30 rds,Semi Auto,975000.0,Brand: Kel-Tec | Origin: USA | Caliber: 5.56 NATO | Capacity: 30 rds | Action: Semi Auto
Saiga MK,Rifle,Saiga,Russia,.223/.222 Rem,30 rds,Semi Auto,420000.0,Brand: Saiga | Origin: Russia | Caliber: .223/.222 Rem | Capacity: 30 rds | Action: Semi Auto
Saiga A-308-1,Rifle,Saiga,Russia,.308 Win,30 rds,Semi Auto,390000.0,Brand: Saiga | Origin: Russia | Caliber: .308 Win | Capacity: 30 rds | Action: Semi Auto
Vepr Molot Krenkove,Rifle,Molot,Russia,.223/.222 Rem,30 rds,Semi Auto,740000.0,Brand: Molot | Origin: Russia | Caliber: .223/.222 Rem | Capacity: 30 rds | Action: Semi Auto
TR 3,Rifle,TR3,Russia,.223/.222 Rem,30 rds,Semi Auto,490000.0,Brand: TR3 | Origin: Russia | Caliber: .223/.222 Rem | Capacity: 30 rds | Action: Semi Auto
Taurus T4,Rifle,Taurus,Brazil,5.56 NATO,30 rds,Semi Auto,500000.0,Brand: Taurus | Origin: Brazil | Caliber: 5.56 NATO | Capacity: 30 rds | Action: Semi Auto
Utas Defense AR10,Rifle,UTAS,Turkey,.308 Win,20 rds,Semi Auto,400000.0,Brand: UTAS | Origin: Turkey | Caliber: .308 Win | Capacity: 20 rds | Action: Semi Auto
G3 POF WAH,Rifle,POF,Pakistan,.308 Win,20 rds,Semi Auto,330000.0,Brand: POF | Origin: Pakistan | Caliber: .308 Win | Capacity: 20 rds | Action: Semi Auto
Norinco CQ M4,Rifle,Norinco,China,5.56 NATO,30 rds,Semi Auto,390000.0,Brand: Norinco | Origin: China | Caliber: 5.56 NATO | Capacity: 30 rds | Action: Semi Auto
Utas Defense 9mm,Rifle,UTAS,Turkey,9mm,30 rds,Semi Auto,260000.0,Brand: UTAS | Origin: Turkey | Caliber: 9mm | Capacity: 30 rds | Action: Semi Auto
MP5 POF WAH,Rifle,POF,Pakistan,9mm,20 rds,Semi Auto,210000.0,Brand: POF | Origin: Pakistan | Caliber: 9mm | Capacity: 20 rds | Action: Semi Auto
Sig Sauer MPX,Rifle,SIG Sauer,USA,9mm,20 rds,Semi Auto,1100000.0,Brand: SIG Sauer | Origin: USA | Caliber: 9mm | Capacity: 20 rds | Action: Semi Auto
MKA,Rifle,MKA,Turkey,9mm,30 rds,Semi Auto,330000.0,Brand: MKA | Origin: Turkey | Caliber: 9mm | Capacity: 30 rds | Action: Semi Auto
Sig Sauer PMPX,Rifle,SIG Sauer,USA,9mm,30 rds,Semi Auto,1100000.0,Brand: SIG Sauer | Origin: USA | Caliber: 9mm | Capacity: 30 rds | Action: Semi Auto
Scar 17 .308,Rifle,FN Herstal,USA,.308 Win,20 rds,Semi Auto,2200000.0,Brand: FN Herstal | Origin: USA | Caliber: .308 Win | Capacity: 20 rds | Action: Semi Auto
Anderson M4,Rifle,Anderson Manufacturing,USA,5.56 NATO,30 rds,Semi Auto,700000.0,Brand: Anderson Manufacturing | Origin: USA | Caliber: 5.56 NATO | Capacity: 30 rds | Action: Semi Auto
Huglu Tactical Bolt Action,Rifle,Huglu,Turkey,.308 Win,5 rds,Bolt Action,750000.0,Brand: Huglu | Origin: Turkey | Caliber: .308 Win | Capacity: 5 rds | Action: Bolt Action
Kral XPS,Shotgun,Kral,Turkey,12 Gauge,5 rds,Semi Auto,140000.0,Brand: Kral | Origin: Turkey | Caliber: 12 Gauge | Capacity: 5 rds | Action: Semi Auto
Kral XPS Bullpup,Shotgun,Kral,Turkey,12 Gauge,5 rds,Semi Auto,140000.0,Brand: Kral | Origin: Turkey | Caliber: 12 Gauge | Capacity: 5 rds | Action: Semi Auto
Saiga 12 Repeater,Shotgun,Saiga,Russia,12 Gauge,10 rds,Semi Auto,230000.0,Brand: Saiga | Origin: Russia | Caliber: 12 Gauge | Capacity: 10 rds | Action: Semi Auto
Saiga 12C Repeater,Shotgun,Saiga,Russia,12 Gauge,10 rds,Semi Auto,320000.0,Brand: Saiga | Origin: Russia | Caliber: 12 Gauge | Capacity: 10 rds | Action: Semi Auto
